,name,description,category,resource,homepage,show,projectrank,github_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,star_count,commit_count,contributor_count,open_issue_count,closed_issue_count,license,updated_github_id,pypi_id,conda_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending
255,paramiko,The leading native Python SSHv2 protocol library.,Cryptography,,https://github.com/paramiko/paramiko,True,31,paramiko/paramiko,https://github.com/paramiko/paramiko,2009-02-02 03:41:08.000,2022-10-03 22:23:41.000,2022-09-27 14:41:25,1783.0,7911.0,,176.0,726.0,684.0,LGPL-2.1,,paramiko,conda-forge/paramiko,,,,31173028.0,24.0,63048.0,63048.0,https://pypi.org/project/paramiko,31142909.0,https://anaconda.org/conda-forge/paramiko,2022-05-17 13:06:11.920,2198692.0,1.0,
256,sh,A full-fledged subprocess replacement for Python.,Processes,,https://github.com/amoffat/sh,True,31,amoffat/sh,https://github.com/amoffat/sh,2012-01-15 05:52:06.000,2022-09-19 09:02:20.000,2022-08-18 13:49:51,455.0,6388.0,1273.0,85.0,10.0,406.0,MIT,,sh,conda-forge/sh,,,,3455401.0,5.0,10166.0,10166.0,https://pypi.org/project/sh,3453512.0,https://anaconda.org/conda-forge/sh,2022-06-20 08:34:52.323,137907.0,1.0,
257,xmltodict,Working with XML feel like you are working with JSON.,HTML Manipulation,,https://github.com/martinblech/xmltodict,True,31,martinblech/xmltodict,https://github.com/martinblech/xmltodict,2012-04-17 14:38:21.000,2022-10-04 18:27:26.000,2022-05-08 16:31:38,437.0,4932.0,220.0,49.0,63.0,158.0,MIT,,xmltodict,conda-forge/xmltodict,,,,19435457.0,4.0,43573.0,43573.0,https://pypi.org/project/xmltodict,19408901.0,https://anaconda.org/conda-forge/xmltodict,2022-05-08 14:42:37.794,1965215.0,1.0,
258,django-crispy-forms,A Django app which lets you create beautiful forms in a very elegant and DRY way.,Forms,,https://github.com/django-crispy-forms/django-crispy-forms,True,31,django-crispy-forms/django-crispy-forms,https://github.com/django-crispy-forms/django-crispy-forms,2011-11-01 11:48:03.000,2022-08-18 12:15:13.000,2022-07-15 10:14:31,675.0,4544.0,,221.0,58.0,595.0,MIT,,django-crispy-forms,conda-forge/django-crispy-forms,2022-01-25 08:05:43,1.14.0,,665945.0,20.0,99463.0,99463.0,https://pypi.org/project/django-crispy-forms,665017.0,https://anaconda.org/conda-forge/django-crispy-forms,2022-01-25 11:08:25.716,57548.0,2.0,
259,tablib,"A module for Tabular Datasets in XLS, CSV, JSON, YAML.",Specific Formats Processing,,https://github.com/jazzband/tablib,True,31,jazzband/tablib,https://github.com/jazzband/tablib,2011-03-28 02:36:50.000,2022-10-03 19:05:29.000,2022-10-03 19:05:27,543.0,4167.0,1145.0,117.0,29.0,210.0,MIT,,tablib,conda-forge/tablib,2022-04-09 14:17:22,3.2.1,,1197309.0,13.0,15476.0,15476.0,https://pypi.org/project/tablib,1196226.0,https://anaconda.org/conda-forge/tablib,2022-04-09 19:03:08.769,76923.0,2.0,
260,VCR.py,Record and replay HTTP interactions on your tests.,Testing,,https://github.com/kevin1024/vcrpy,True,31,kevin1024/vcrpy,https://github.com/kevin1024/vcrpy,2012-05-29 04:52:00.000,2022-10-05 11:10:27.000,2022-08-31 19:14:32,299.0,2315.0,1042.0,118.0,84.0,254.0,MIT,,vcrpy,conda-forge/vcrpy,2022-08-31 19:15:25,4.2.1,,1771175.0,54.0,4237.0,4237.0,https://pypi.org/project/vcrpy,1767905.0,https://anaconda.org/conda-forge/vcrpy,2022-09-01 02:22:30.731,261670.0,2.0,
261,python-decouple,Strict separation of settings from code.,Configuration,,https://github.com/henriquebastos/python-decouple,True,31,henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,2014-02-25 04:16:08.000,2022-09-27 17:37:53.000,2022-05-11 03:12:24,159.0,2233.0,184.0,32.0,8.0,72.0,MIT,,python-decouple,conda-forge/python-decouple,2022-02-02 19:24:57,3.6,10.0,1051572.0,6.0,77436.0,77436.0,https://pypi.org/project/python-decouple,1050766.0,https://anaconda.org/conda-forge/python-decouple,2022-02-02 22:07:38.334,49200.0,1.0,
262,MarkupSafe,Implements a XML/HTML/XHTML Markup safe string for Python.,HTML Manipulation,,https://github.com/pallets/markupsafe,True,31,pallets/markupsafe,https://github.com/pallets/markupsafe,2010-06-22 17:22:58.000,2022-10-03 23:31:41.000,2022-10-02 14:05:04,114.0,496.0,,39.0,,99.0,BSD-3-Clause,,markupsafe,conda-forge/markupsafe,2022-03-15 13:21:57,2.1.1,,128354973.0,9.0,968271.0,968271.0,https://pypi.org/project/markupsafe,128068129.0,https://anaconda.org/conda-forge/markupsafe,2022-06-08 16:56:29.553,22373908.0,1.0,
263,fastapi,"A modern, fast, web framework for building APIs with Python 3.6+ based on standard Python type hints.",RESTful API,,https://github.com/tiangolo/fastapi,True,30,tiangolo/fastapi,https://github.com/tiangolo/fastapi,2018-12-08 08:21:47.000,2022-10-06 12:01:50.000,2022-09-20 14:30:02,3944.0,50239.0,2409.0,387.0,1118.0,1999.0,MIT,,fastapi,conda-forge/fastapi,2022-09-15 13:59:43,0.85.0,,9729983.0,100.0,,,https://pypi.org/project/fastapi,9704241.0,https://anaconda.org/conda-forge/fastapi,2022-09-15 21:42:31.790,978197.0,2.0,
264,poetry,Python dependency management and packaging made easy.,Package Management,,https://github.com/python-poetry/poetry,True,30,sdispater/poetry,https://github.com/python-poetry/poetry,2018-02-28 15:23:47.000,2022-10-06 04:31:01.000,2022-10-04 17:28:29,1733.0,22094.0,2602.0,400.0,693.0,3610.0,MIT,python-poetry/poetry,poetry,conda-forge/poetry,2022-09-16 18:22:23,1.2.1,14158353.0,9767466.0,100.0,,,https://pypi.org/project/poetry,9491683.0,https://anaconda.org/conda-forge/poetry,2022-08-31 12:09:56.826,638868.0,1.0,
265,saltstack,Infrastructure automation and management system.,DevOps Tools,,https://github.com/saltstack/salt,True,30,saltstack/salt,https://github.com/saltstack/salt,2011-02-20 20:16:56.000,2022-10-06 13:32:12.000,2022-10-06 04:38:52,5118.0,12767.0,114582.0,3809.0,2338.0,22526.0,Apache-2.0,,salt,conda-forge/salt,2022-10-04 15:17:32,3005.1,15836.0,71956.0,100.0,,,https://pypi.org/project/salt,71410.0,https://anaconda.org/conda-forge/salt,2019-02-26 15:59:37.890,26529.0,2.0,
266,beets,A music library manager and [MusicBrainz](https://musicbrainz.org/) tagger.,Audio,,https://github.com/beetbox/beets,True,30,beetbox/beets,https://github.com/beetbox/beets,2010-08-09 23:17:20.000,2022-10-05 16:17:23.000,2022-10-03 18:13:06,1676.0,11170.0,10735.0,512.0,475.0,2046.0,MIT,,beets,conda-forge/beets,2021-11-27 16:44:38,1.6.0,7719.0,1985.0,33.0,262.0,262.0,https://pypi.org/project/beets,1916.0,https://anaconda.org/conda-forge/beets,,,1.0,
267,schedule,Python job scheduling for humans.,Job Scheduler,,https://github.com/dbader/schedule,True,30,dbader/schedule,https://github.com/dbader/schedule,2013-05-19 12:51:20.000,2022-07-25 09:25:24.000,2022-04-23 10:54:55,788.0,9929.0,381.0,51.0,122.0,263.0,MIT,,schedule,conda-forge/schedule,,,,2037328.0,3.0,20140.0,20140.0,https://pypi.org/project/schedule,2036720.0,https://anaconda.org/conda-forge/schedule,2021-04-10 12:19:56.940,20689.0,1.0,
268,Seaborn,Statistical data visualization using Matplotlib.,Data Visualization,,https://github.com/mwaskom/seaborn,True,30,mwaskom/seaborn,https://github.com/mwaskom/seaborn,2012-06-18 18:41:19.000,2022-10-05 11:39:16.000,2022-10-04 23:46:17,1587.0,9872.0,3049.0,175.0,95.0,2040.0,BSD-3-Clause,,seaborn,conda-forge/seaborn,2022-09-06 03:03:00,0.12.0,235.0,9228654.0,31.0,,,https://pypi.org/project/seaborn,9163421.0,https://anaconda.org/conda-forge/seaborn,2022-09-06 19:11:47.177,4827103.0,2.0,
269,Theano,A library for fast numerical computation.,Deep Learning,,https://github.com/Theano/Theano,True,30,Theano/Theano,https://github.com/Theano/Theano,2011-08-10 03:48:06.000,2022-03-16 06:30:00.008,2021-11-23 08:52:10,2400.0,9624.0,28127.0,384.0,584.0,2086.0,,,Theano,conda-forge/Theano,,,,343564.0,8.0,12927.0,12927.0,https://pypi.org/project/Theano,314795.0,https://anaconda.org/conda-forge/Theano,2022-03-16 06:30:00.008,2157704.0,2.0,
270,py-spy,A sampling profiler for Python programs. Written in Rust.,Debugging Tools,,https://github.com/benfred/py-spy,True,30,benfred/py-spy,https://github.com/benfred/py-spy,2018-08-01 02:22:15.000,2022-09-12 21:01:06.000,2022-09-12 21:01:02,308.0,9124.0,458.0,30.0,82.0,177.0,MIT,,py-spy,conda-forge/py-spy,2022-09-07 21:58:56,0.3.14,10277.0,974112.0,20.0,295.0,295.0,https://pypi.org/project/py-spy,964568.0,https://anaconda.org/conda-forge/py-spy,2022-09-09 07:18:41.721,334122.0,1.0,
271,fuzzywuzzy,Fuzzy String Matching.,Text Processing,,https://github.com/seatgeek/fuzzywuzzy,True,30,seatgeek/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,2011-07-08 19:32:34.000,2021-11-02 23:56:01.000,2021-09-09 20:54:41,867.0,8760.0,384.0,70.0,80.0,103.0,GPL-2.0,,fuzzywuzzy,conda-forge/fuzzywuzzy,2020-02-13 22:14:12,0.18.0,,7438248.0,23.0,14656.0,14656.0,https://pypi.org/project/fuzzywuzzy,7433008.0,https://anaconda.org/conda-forge/fuzzywuzzy,2020-11-18 12:59:01.409,393018.0,1.0,
272,pattern,A web mining module.,Natural Language Processing,,https://github.com/clips/pattern,True,30,clips/pattern,https://github.com/clips/pattern,2011-05-03 15:29:01.000,2022-08-30 12:13:51.000,2020-04-25 12:40:40,1485.0,8308.0,1434.0,30.0,127.0,76.0,BSD-3-Clause,,pattern,conda-forge/pattern,,,16.0,2293295.0,1.0,1404.0,1404.0,https://pypi.org/project/pattern,2292960.0,https://anaconda.org/conda-forge/pattern,2020-05-05 12:38:53.775,11780.0,2.0,
273,supervisor,Supervisor process control system for UNIX.,DevOps Tools,,https://github.com/Supervisor/supervisor,True,30,Supervisor/supervisor,https://github.com/Supervisor/supervisor,2010-12-08 00:48:48.000,2022-09-25 16:00:02.000,2022-09-10 18:18:47,1117.0,7492.0,2388.0,166.0,114.0,968.0,,,supervisor,conda-forge/supervisor,,,,1408397.0,18.0,7722.0,7722.0,https://pypi.org/project/supervisor,1405649.0,https://anaconda.org/conda-forge/supervisor,2022-04-12 19:28:37.903,211616.0,2.0,
274,PyAutoGUI,PyAutoGUI is a cross-platform GUI automation Python module for human beings.,Testing,,https://github.com/asweigart/pyautogui,True,30,asweigart/pyautogui,https://github.com/asweigart/pyautogui,2014-07-17 23:30:38.000,2022-09-10 02:31:57.039,2021-09-14 17:41:07,928.0,7233.0,402.0,51.0,379.0,214.0,BSD-3-Clause,,pyautogui,conda-forge/pyautogui,,,,534996.0,11.0,17369.0,17369.0,https://pypi.org/project/pyautogui,532188.0,https://anaconda.org/conda-forge/pyautogui,2022-09-10 02:31:57.039,165702.0,2.0,
275,django-debug-toolbar,Display various debug information for Django.,Debugging Tools,,https://github.com/jazzband/django-debug-toolbar,True,30,jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2008-08-28 06:58:04.000,2022-09-26 18:31:06.000,2022-09-25 23:55:42,848.0,7205.0,,259.0,73.0,735.0,BSD-3-Clause,,django-debug-toolbar,conda-forge/django-debug-toolbar,2022-09-25 16:02:28,3.7,178.0,1595403.0,25.0,56050.0,56050.0,https://pypi.org/project/django-debug-toolbar,1593568.0,https://anaconda.org/conda-forge/django-debug-toolbar,2022-09-26 12:53:37.048,144931.0,1.0,
276,pydub,Manipulate audio with a simple and easy high level interface.,Audio,,https://github.com/jiaaro/pydub,True,30,jiaaro/pydub,https://github.com/jiaaro/pydub,2011-05-02 18:42:38.000,2022-09-30 11:33:45.000,2022-05-14 13:22:02,849.0,6415.0,743.0,92.0,232.0,261.0,MIT,,pydub,conda-forge/pydub,2021-03-10 02:10:41,0.25.1,,1968210.0,31.0,14447.0,14447.0,https://pypi.org/project/pydub,1967538.0,https://anaconda.org/conda-forge/pydub,2021-03-13 05:16:50.142,30955.0,1.0,
277,marshmallow,A lightweight library for converting complex objects to and from simple Python datatypes.,Serialization,,https://github.com/marshmallow-code/marshmallow,True,30,marshmallow-code/marshmallow,https://github.com/marshmallow-code/marshmallow,2013-11-10 21:32:24.000,2022-10-03 20:40:45.000,2022-10-03 20:40:44,590.0,6264.0,,201.0,135.0,1005.0,MIT,,marshmallow,conda-forge/marshmallow,,,,20857986.0,52.0,55905.0,55905.0,https://pypi.org/project/marshmallow,20840544.0,https://anaconda.org/conda-forge/marshmallow,2022-09-16 06:27:14.041,1273293.0,1.0,
278,keyboard,Hook and simulate global keyboard events on Windows and Linux.,Hardware,,https://github.com/boppreh/keyboard,True,30,boppreh/keyboard,https://github.com/boppreh/keyboard,2013-05-07 22:55:07.000,2022-09-15 18:49:12.000,2022-07-20 18:30:34,365.0,3099.0,772.0,40.0,324.0,181.0,MIT,,keyboard,conda-forge/keyboard,2020-03-23 21:46:31,0.13.5,,639331.0,23.0,7723.0,7723.0,https://pypi.org/project/keyboard,638792.0,https://anaconda.org/conda-forge/keyboard,2021-11-08 10:20:21.868,8637.0,2.0,
279,Cerberus,A lightweight and extensible data validation library.,Data Validation,,https://github.com/pyeve/cerberus,True,30,pyeve/cerberus,https://github.com/pyeve/cerberus,2012-10-10 10:03:49.000,2022-03-14 21:13:44.000,2021-05-05 20:47:21,221.0,2838.0,1145.0,62.0,41.0,293.0,ISC,,cerberus,conda-forge/cerberus,,,,3457499.0,7.0,11973.0,11973.0,https://pypi.org/project/cerberus,3454148.0,https://anaconda.org/conda-forge/cerberus,2021-12-10 19:41:57.511,247992.0,2.0,
280,napalm,Cross-vendor API to manipulate network devices.,Network Virtualization,,https://github.com/napalm-automation/napalm,True,30,napalm-automation/napalm,https://github.com/napalm-automation/napalm,2015-03-23 14:43:45.000,2022-10-04 15:15:52.000,2022-09-26 23:46:37,506.0,1946.0,5078.0,194.0,121.0,449.0,Apache-2.0,,napalm,conda-forge/napalm,2022-07-11 11:40:35,4.0.0,,35796.0,36.0,915.0,915.0,https://pypi.org/project/napalm,35796.0,https://anaconda.org/conda-forge/napalm,,,1.0,
281,django-pipeline,An asset packaging library for Django.,Web Asset Management,,https://github.com/jazzband/django-pipeline,True,30,jazzband/django-pipeline,https://github.com/jazzband/django-pipeline,2011-06-03 19:01:34.000,2022-09-29 19:23:33.000,2022-08-06 03:59:07,353.0,1446.0,1179.0,170.0,121.0,318.0,MIT,,django-pipeline,conda-forge/django-pipeline,2022-01-10 19:06:21,2.0.8,,61251.0,10.0,2010.0,2010.0,https://pypi.org/project/django-pipeline,61251.0,https://anaconda.org/conda-forge/django-pipeline,,,1.0,
282,blinker,A fast Python in-process signal/event dispatching system.,Miscellaneous,,https://github.com/pallets-eco/blinker,True,30,jek/blinker,https://github.com/pallets-eco/blinker,2013-07-03 10:32:39.000,2022-10-03 18:53:37.373,2022-07-17 18:03:06,161.0,1415.0,,14.0,3.0,32.0,MIT,pallets-eco/blinker,blinker,conda-forge/blinker,2022-07-17 17:43:33,1.5,,8404907.0,2.0,117367.0,117367.0,https://pypi.org/project/blinker,8323491.0,https://anaconda.org/conda-forge/blinker,2022-10-03 18:53:37.373,6350514.0,2.0,
283,wand,"Python bindings for [MagickWand](http://www.imagemagick.org/script/magick-wand.php), C API for ImageMagick.",Image Processing,,https://github.com/emcconville/wand,True,30,dahlia/wand,https://github.com/emcconville/wand,2011-09-30 21:36:38.000,2022-09-29 01:01:45.000,2022-09-29 01:01:41,195.0,1210.0,1785.0,101.0,16.0,366.0,,emcconville/wand,wand,conda-forge/wand,2022-08-15 01:14:48,0.6.10,8470.0,641883.0,22.0,12731.0,12731.0,https://pypi.org/project/wand,641259.0,https://anaconda.org/conda-forge/wand,2022-08-22 21:57:19.809,16890.0,1.0,
284,httplib2,Comprehensive HTTP client library.,HTTP Clients,,https://github.com/httplib2/httplib2,True,30,httplib2/httplib2,https://github.com/httplib2/httplib2,2016-03-02 22:59:52.000,2022-09-25 20:21:27.000,2022-09-25 20:21:26,171.0,452.0,541.0,73.0,44.0,68.0,,,httplib2,conda-forge/httplib2,,,,33625579.0,26.0,116508.0,116508.0,https://pypi.org/project/httplib2,33602402.0,https://anaconda.org/conda-forge/httplib2,2022-02-11 15:34:48.520,1807835.0,3.0,
285,TheAlgorithms,All Algorithms implemented in Python.,Algorithms and Design Patterns,,https://github.com/TheAlgorithms/Python,True,29,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-05-20 05:25:33.155,2022-10-06 13:47:39.000,2022-10-05 10:32:07,36165.0,146262.0,2476.0,878.0,42.0,1082.0,MIT,,Python,conda-forge/Python,,,,861524.0,79.0,,,https://pypi.org/project/Python,,https://anaconda.org/conda-forge/Python,2022-08-22 21:01:12.422,66337349.0,1.0,
286,thefuck,Correcting your previous console command.,Command-line Tools,,https://github.com/nvbn/thefuck,True,29,nvbn/thefuck,https://github.com/nvbn/thefuck,2015-04-08 15:08:04.000,2022-09-30 12:07:23.000,2022-09-25 19:37:47,3133.0,73819.0,1636.0,193.0,200.0,450.0,MIT,,thefuck,conda-forge/thefuck,2022-01-02 22:17:40,3.32,,7292.0,17.0,375.0,375.0,https://pypi.org/project/thefuck,7292.0,https://anaconda.org/conda-forge/thefuck,,,2.0,
287,pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,Deep Learning,,https://github.com/pytorch/pytorch,True,29,pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41.000,2022-10-06 14:30:26.000,2022-10-06 13:30:59,16008.0,59379.0,52373.0,3557.0,9349.0,19179.0,,,pytorch,conda-forge/pytorch,2022-08-05 19:35:19,1.12.1,6819.0,88799.0,41.0,,,https://pypi.org/project/pytorch,52466.0,https://anaconda.org/conda-forge/pytorch,2022-10-03 21:37:52.295,797283.0,2.0,
288,mxnet,A deep learning framework designed for both efficiency and flexibility.,Deep Learning,,https://github.com/apache/incubator-mxnet,True,29,dmlc/mxnet,https://github.com/apache/incubator-mxnet,2015-04-30 16:21:15.000,2022-09-26 12:15:07.000,2022-09-26 12:15:06,6520.0,20095.0,11893.0,980.0,1783.0,7745.0,Apache-2.0,apache/incubator-mxnet,mxnet,conda-forge/mxnet,2022-05-10 20:10:05,1.9.1,25561.0,370366.0,34.0,,,https://pypi.org/project/mxnet,370035.0,https://anaconda.org/conda-forge/mxnet,,,2.0,
289,locust,Scalable user load testing tool written in Python.,Testing,,https://github.com/locustio/locust,True,29,locustio/locust,https://github.com/locustio/locust,2011-02-17 11:08:03.000,2022-10-03 22:48:50.000,2022-09-23 11:33:54,2485.0,19872.0,3774.0,264.0,14.0,1352.0,MIT,,locust,conda-forge/locust,2022-09-21 09:46:03,2.12.1,,1137318.0,83.0,,,https://pypi.org/project/locust,1135817.0,https://anaconda.org/conda-forge/locust,2022-09-21 18:29:16.849,79593.0,2.0,
290,Zipline,A Pythonic algorithmic trading library.,Science,,https://github.com/quantopian/zipline,True,29,quantopian/zipline,https://github.com/quantopian/zipline,2012-10-19 15:50:29.000,2022-07-20 11:57:42.000,2020-10-14 16:36:49,4032.0,15478.0,6226.0,155.0,322.0,653.0,Apache-2.0,,zipline,conda-forge/zipline,2020-10-05 15:43:07,1.4.1,,3021.0,13.0,883.0,883.0,https://pypi.org/project/zipline,2767.0,https://anaconda.org/conda-forge/zipline,2020-10-05 18:38:58.729,6355.0,2.0,
291,yapf,Yet another Python code formatter from Google.,Code Analysis,,https://github.com/google/yapf,True,29,google/yapf,https://github.com/google/yapf,2015-03-18 18:22:31.000,2022-10-03 14:12:07.000,2022-09-23 18:03:58,843.0,12838.0,,137.0,356.0,398.0,Apache-2.0,,yapf,conda-forge/yapf,,,,2387302.0,24.0,38657.0,38657.0,https://pypi.org/project/yapf,2372068.0,https://anaconda.org/conda-forge/yapf,2022-01-06 16:55:17.692,1157822.0,2.0,
292,requests-html,Pythonic HTML Parsing for Humans.,Web Content Extracting,,https://github.com/psf/requests-html,True,29,psf/requests-html,https://github.com/psf/requests-html,2018-02-24 20:11:02.000,2022-07-30 23:24:55.000,2020-05-10 19:40:04,850.0,12759.0,449.0,62.0,166.0,203.0,MIT,,requests-html,conda-forge/requests-html,2019-02-18 21:38:41,0.10.0,,719628.0,1.0,8729.0,8729.0,https://pypi.org/project/requests-html,719430.0,https://anaconda.org/conda-forge/requests-html,2021-06-26 09:29:57.542,3174.0,1.0,
293,Prefect,"A modern workflow orchestration framework that makes it easy to build, schedule and monitor robust data pipelines.",Job Scheduler,,https://github.com/PrefectHQ/prefect,True,29,PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,2018-06-29 21:59:26.000,2022-10-06 14:41:59.000,2022-10-06 14:07:01,994.0,10159.0,,76.0,593.0,2181.0,Apache-2.0,,prefect,conda-forge/prefect,2022-09-29 20:05:47,2.4.5,,498863.0,124.0,1237.0,1237.0,https://pypi.org/project/prefect,491146.0,https://anaconda.org/conda-forge/prefect,2022-10-02 15:55:51.437,331859.0,2.0,
294,thumbor,"A smart imaging service. It enables on-demand crop, re-sizing and flipping of images.",Image Processing,,https://github.com/thumbor/thumbor,True,29,thumbor/thumbor,https://github.com/thumbor/thumbor,2011-03-16 17:30:05.000,2022-10-06 13:08:01.000,2022-10-03 21:06:23,752.0,9150.0,2337.0,181.0,10.0,895.0,MIT,,thumbor,conda-forge/thumbor,2022-09-21 20:08:02,7.1.1,,3964.0,100.0,316.0,316.0,https://pypi.org/project/thumbor,3964.0,https://anaconda.org/conda-forge/thumbor,,,2.0,
295,channels,Developer-friendly asynchrony for Django.,WebSocket,,https://github.com/django/channels,True,29,django/channels,https://github.com/django/channels,2015-06-03 17:16:20.000,2022-09-26 16:54:49.000,2022-09-16 12:14:59,716.0,5416.0,,249.0,62.0,1110.0,BSD-3-Clause,,channels,conda-forge/channels,,,,550620.0,6.0,19690.0,19690.0,https://pypi.org/project/channels,547012.0,https://anaconda.org/conda-forge/channels,2022-06-24 14:18:53.036,108240.0,1.0,
296,flower,Real-time monitor and web admin for Celery.,Admin Panels,,https://github.com/mher/flower,True,29,mher/flower,https://github.com/mher/flower,2012-07-08 13:35:09.000,2022-09-09 11:44:25.000,2022-09-09 11:44:25,913.0,5396.0,1298.0,195.0,98.0,747.0,,,flower,conda-forge/flower,,,,2043890.0,10.0,9334.0,9334.0,https://pypi.org/project/flower,2042282.0,https://anaconda.org/conda-forge/flower,2022-08-07 14:23:14.889,127064.0,2.0,
297,trio,A friendly library for async concurrency and I/O.,Asynchronous Programming,,https://github.com/python-trio/trio,True,29,python-trio/trio,https://github.com/python-trio/trio,2017-01-16 04:45:25.000,2022-10-05 10:21:40.000,2022-10-04 11:13:39,267.0,4908.0,4840.0,132.0,269.0,407.0,,,trio,conda-forge/trio,,,,6761758.0,20.0,15884.0,15884.0,https://pypi.org/project/trio,6747025.0,https://anaconda.org/conda-forge/trio,2022-09-28 14:57:43.791,825069.0,3.0,
298,PyPDF2,"A library capable of splitting, merging and transforming PDF pages.",Specific Formats Processing,,https://github.com/py-pdf/PyPDF2,True,29,mstamy2/PyPDF2,https://github.com/py-pdf/PyPDF2,2012-01-06 17:13:38.000,2022-10-05 21:49:39.000,2022-09-29 07:56:29,981.0,4762.0,,147.0,64.0,524.0,,py-pdf/PyPDF2,PyPDF2,conda-forge/PyPDF2,2022-09-25 16:53:12,2.11.0,,3800030.0,46.0,35813.0,35813.0,https://pypi.org/project/PyPDF2,3796111.0,https://anaconda.org/conda-forge/PyPDF2,2022-09-15 06:25:50.532,297898.0,2.0,
299,transitions,"A lightweight, object-oriented finite state machine implementation.",Algorithms and Design Patterns,,https://github.com/pytransitions/transitions,True,29,pytransitions/transitions,https://github.com/pytransitions/transitions,2014-10-12 20:59:09.000,2022-09-05 13:15:30.000,2022-09-02 09:40:05,491.0,4596.0,991.0,74.0,2.0,410.0,MIT,,transitions,conda-forge/transitions,2022-09-02 09:45:38,0.9.0,,342290.0,30.0,2476.0,2476.0,https://pypi.org/project/transitions,335983.0,https://anaconda.org/conda-forge/transitions,2022-09-02 13:47:08.099,252297.0,1.0,
300,websockets,A library for building WebSocket servers and clients with a focus on correctness and simplicity.,WebSocket,,https://github.com/aaugustin/websockets,True,29,aaugustin/websockets,https://github.com/aaugustin/websockets,2013-03-30 08:59:30.000,2022-10-02 19:06:00.000,2022-10-02 19:05:57,435.0,4182.0,,62.0,25.0,894.0,BSD-3-Clause,,websockets,conda-forge/websockets,,,,13557498.0,17.0,69748.0,69748.0,https://pypi.org/project/websockets,13535765.0,https://anaconda.org/conda-forge/websockets,2022-04-18 17:10:05.446,1521350.0,1.0,
301,PyWin32,Python Extensions for Windows.,Microsoft Windows,,https://github.com/mhammond/pywin32,True,29,mhammond/pywin32,https://github.com/mhammond/pywin32,2017-01-28 11:15:56.752,2022-09-30 09:17:51.000,2022-09-18 01:43:02,693.0,3956.0,,81.0,435.0,1258.0,,,pywin32,conda-forge/pywin32,2022-05-02 07:58:49,b304,574129.0,4181747.0,13.0,92859.0,92859.0,https://pypi.org/project/pywin32,4132391.0,https://anaconda.org/conda-forge/pywin32,2021-12-27 11:21:45.734,2722642.0,1.0,
302,textdistance,Compute distance between sequences with 30+ algorithms.,Text Processing,,https://github.com/life4/textdistance,True,29,orsinium/textdistance,https://github.com/life4/textdistance,2017-05-05 08:46:10.000,2022-09-18 19:00:35.403,2022-09-18 07:45:53,234.0,2964.0,376.0,13.0,,,MIT,life4/textdistance,textdistance,conda-forge/textdistance,2022-09-18 07:47:16,4.5.0,840.0,765875.0,11.0,2827.0,2827.0,https://pypi.org/project/textdistance,761669.0,https://anaconda.org/conda-forge/textdistance,2022-09-18 19:00:35.403,222141.0,2.0,
303,schema,A library for validating Python data structures.,Data Validation,,https://github.com/keleshev/schema,True,29,keleshev/schema,https://github.com/keleshev/schema,2012-08-19 18:56:20.000,2022-06-28 23:14:33.000,2021-12-01 20:49:12,183.0,2653.0,400.0,62.0,73.0,69.0,MIT,,schema,conda-forge/schema,2021-12-01 20:51:57,0.7.5,,2561645.0,11.0,4477.0,4477.0,https://pypi.org/project/schema,2560024.0,https://anaconda.org/conda-forge/schema,2021-12-02 07:54:56.628,63245.0,2.0,
304,nikola,A static website and blog generator.,Static Site Generator,,https://github.com/getnikola/nikola,True,29,getnikola/nikola,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000,2022-09-20 09:05:33.000,2022-09-03 20:41:19,347.0,2330.0,10292.0,231.0,45.0,2061.0,MIT,,nikola,conda-forge/nikola,2022-08-01 21:01:18,8.2.3,,1923.0,77.0,441.0,441.0,https://pypi.org/project/nikola,1660.0,https://anaconda.org/conda-forge/nikola,2022-05-24 15:21:58.853,5797.0,2.0,
305,python-magic,A Python interface to the libmagic file type identification library.,Files,,https://github.com/ahupp/python-magic,True,29,ahupp/python-magic,https://github.com/ahupp/python-magic,2010-03-31 22:40:33.000,2022-08-29 12:06:04.000,2022-06-20 14:28:18,243.0,2203.0,311.0,55.0,28.0,155.0,,,python-magic,conda-forge/python-magic,,,,5688066.0,7.0,31997.0,31997.0,https://pypi.org/project/python-magic,5685510.0,https://anaconda.org/conda-forge/python-magic,2022-06-10 14:18:00.350,168737.0,2.0,
